wgs	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Metabolism_of_Terpenoids_and_Polyketides	3.64997957047509	3.57793632062818	2.16695956336217	6.24290931253425e-56	0.233420896608818	1.66533453693773e-15	1.66533453693773e-15	0.90454046535289	0.0720856375137651	2.30987644563767e-54	0.308449041947367	3.08086889333481e-15	1.02695629777827e-14	0.956228491944484	0.444528098001552
Metabolism_of_Cofactors_and_Vitamins	4.44462135626304	4.42959251534005	4.64108631587359	8.09851907962918e-25	0.449500240899923	2.33146835171283e-15	8.10462807976364e-15	0.0916712723477559	0.00472637602737188	1.36202366339218e-24	0.554383630443239	4.10782519111308e-15	3.74839048689068e-14	0.636152732031263	0.0523769882248058
Transcription	3.06783049024275	3.05296929193373	2.715833905641	1.3748657863052e-28	0.724503490573275	1.66533453693773e-15	6.10622663543836e-15	0.268963919373621	0.00189993922608143	2.82611300518291e-28	0.8298527981824	3.08086889333481e-15	3.22757693587456e-14	0.636152732031263	0.0523769882248058
Signaling_Molecules_and_Interaction	1.52542815523327	3.1118439273598	3.59145181873747	4.08463949070666e-30	1.12132525487141e-14	6.99440505513849e-15	0.0518626891967754	0.0634590661189511	0.140566734273206	9.44572882225914e-30	1.3829678143414e-13	1.11253598925979e-14	0.0639639833426897	0.636152732031263	0.629690651504057
Nucleotide_Metabolism	3.62593600961585	3.55234348379429	3.06596554304821	5.71660174662509e-55	6.99185594463803e-05	1.66533453693773e-15	1.66533453693773e-15	0.559707030195792	0.158719935452111	1.05757132312564e-53	0.000129349334975803	3.08086889333481e-15	1.02695629777827e-14	0.79650615835555	0.629690651504057
Immune_System	1.25072218953771	2.85540359556857	4.20363322916834	1.61764973268533e-39	8.99280649946377e-15	1.66533453693773e-15	1.86690829462322e-09	0.513282720135566	0.0103299736285184	9.97550668489284e-39	1.3829678143414e-13	3.08086889333481e-15	2.87815028754412e-09	0.759658425800638	0.0764418048510358
Xenobiotics_Biodegradation_and_Metabolism	3.64676434236482	3.59171825062879	2.54615827116874	9.45848332781511e-22	0.740138982162681	7.21644966006352e-15	3.00870439673417e-14	0.638840610618493	0.999825354308809	1.39985553251664e-21	0.8298527981824	1.11253598925979e-14	7.77748236184076e-14	0.800222556676526	0.999960904970308
Membrane_Transport	3.43801292280029	3.39898590953927	3.15599221133631	1.23969159877142e-12	0.329225112322061	4.64406291200703e-13	3.3854146708201e-08	0.375120766501341	0.812705606099278	1.47963190821105e-12	0.420045832962629	5.54291379820194e-13	4.81770549309014e-08	0.707386929485689	0.999960904970308
Cell_Growth_and_Death	3.30736871879174	3.3417293027757	3.51340170166174	0.031469195034459	0.842147752684331	0.0234909509688623	0.140595415733293	0.263424712392937	0.999874351205064	0.0332674347507138	0.89027048140915	0.0255636819367031	0.153000893592113	0.636152732031263	0.999960904970308
Folding_Sorting_and_Degradation	3.77363558769506	3.81602129888923	3.58361323638266	8.61108974033045e-18	0.0263420966864999	2.96429547574917e-14	3.01980662698043e-14	0.458845575882609	0.999960904970308	1.09865627721458e-17	0.0374868299000191	3.81036198761868e-14	7.77748236184076e-14	0.707386929485689	0.999960904970308
Cancers	0.398182357494682	1.01521249800794	2.60690482403372	2.93465842128459e-33	2.25023062405683e-07	1.66533453693773e-15	2.98649993624167e-14	0.983750924044065	0.857871360110805	8.3524893528869e-33	5.94703807786447e-07	3.08086889333481e-15	7.77748236184076e-14	0.996714223302704	0.999960904970308
Circulatory_System	0.265803545297697	1.39653210336126	2.55080618121539	1.34969915316961e-20	5.10136777265302e-09	2.63122856836162e-14	4.24230840453399e-05	0.216991756653362	0.78317999730192	1.92072571797214e-20	2.0972289732018e-08	3.69704267200177e-14	5.41260037819854e-05	0.636152732031263	0.999960904970308
