MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	15.2189770284299	-0.044	0.033	0.044	0.059	2.355e-35	0.000239
MDS2	9.15571782374639	0.016	0.071	-0.017	0.054	5.7e-08	3.66428571428571e-18
MDS3	5.39874840019039	-0.018	0.063	0.018	0.062	3.5175e-08	2.75e-17
MDS4	4.66332369609365	-0.003	0.074	0.003	0.054	0.245	8.775e-33
MDS5	4.04236402844978	0.011	0.07	-0.012	0.058	4.7625e-05	4.3125e-24
MDS6	3.592185481024	-0.007	0.065	0.007	0.064	0.00138	9.24e-42
MDS7	3.09001718869873	0.003	0.066	-0.003	0.064	0.335769230769231	8.775e-19
MDS8	2.99965497880145	0.004	0.069	-0.004	0.061	0.233181818181818	3.42e-16
MDS9	2.8523758241392	0.005	0.072	-0.005	0.056	0.161357142857143	1.57125e-17
MDS10	2.74500254037263	0	0.067	0	0.062	0.808	1.35e-13
MDS11	2.51635016566287	0.004	0.064	-0.004	0.066	0.231	5.07e-21
MDS12	2.31627072197362	-0.01	0.063	0.01	0.065	0.0002187	5e-28
MDS13	2.00012330546508	-0.002	0.063	0.002	0.067	0.6075	2.83846153846154e-12
MDS14	1.8233556386184	0.005	0.067	-0.005	0.063	0.231	8.925e-10
MDS15	1.74807728168155	0.004	0.066	-0.004	0.063	0.231	1.17e-14
