MDS Axis	% variation explained	Origin adj p-value	Individual adj p-value
MDS1	83.7582916569814	3.05302700058377e-62	0.999999999970786
MDS2	6.14902562226427	0.864888101356788	0.999999999970786
MDS3	3.26002397699361	0.864888101356788	0.999999999970786
MDS4	1.80502264283532	0.552211262098753	0.999999999970786
MDS5	1.18901946999798	0.0126188435891574	0.999999999970786
MDS6	0.575281590344396	0.402614426369422	0.0161706829482471
MDS7	0.432609848184096	0.50005152873278	0.999999999970786
MDS8	0.390915596245684	0.692734426129527	0.999999999970786
MDS1	83.7582916569814	2.25748626892611e-47	0.999968510674141
MDS2	6.14902562226427	0.870776074908059	0.999968510674141
MDS3	3.26002397699361	0.870776074908059	0.730609482243052
MDS4	1.80502264283532	0.555638464303032	0.999968510674141
MDS5	1.18901946999798	0.0148820093572229	0.999968510674141
MDS6	0.575281590344396	0.150150139075257	0.00475168530460247
MDS7	0.432609848184096	0.510713104136513	0.999968510674141
MDS8	0.390915596245684	0.77099003426743	0.775794959661724
