wgs	stoolMeans	swabMeans	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)
Mucin_type_O_glycan_biosynthesis	0.201	0.866	5.40619835526235e-08	0.642374746184731	1.27586281184192e-06	0.999973330728242
Fatty_acid_elongation_in_mitochondria	0.484	0.538	0.952885503424258	0.0188057224683041	0.96752221925895	0.246563916806654
Glycolysis_Gluconeogenesis	3.297	3.231	0.300277571198226	0.803729601948987	0.409063449200301	0.999973330728242
Drug_metabolism_other_enzymes	1.93	2.178	0.0203494314909334	0.304031661149476	0.0556789206348287	0.96961448690914
Tropane_piperidine_and_pyridine_alkaloid_biosynthesis	0.902	0.691	0.00862051516099934	0.03076115276014	0.0290634511142263	0.259272573264037
Ascorbate_and_aldarate_metabolism	2.631	2.607	0.578738333344795	0.77414529139143	0.682141627011151	0.999973330728242
Various_types_of_N_glycan_biosynthesis	0.363	0.319	0.605045369259172	0.812341945585744	0.699954446790022	0.999973330728242
Benzoxazinoid_biosynthesis	0.236	0.194	0.083861607570149	0.0455457374506782	0.171658057441676	0.322592560052789
Sulfur_metabolism	3.149	3.059	0.190459920254461	0.999868215150696	0.301478603788327	0.999973330728242
Pentose_phosphate_pathway	3.45	3.377	0.301597627800222	0.999871009551034	0.409063449200301	0.999973330728242
Styrene_degradation	1.446	0.978	0.014719401963628	0.202430328376235	0.0434222357927025	0.746461835887366
Aminobenzoate_degradation	2.47	2.303	0.0325954950117013	0.999861454719	0.0769253682276151	0.999973330728242
Fatty_acid_biosynthesis	3.38	3.293	0.210673053939241	0.999835505274946	0.319340079080543	0.999973330728242
Carbon_fixation_in_photosynthetic_organisms	0.978	0.946	0.623225684394562	0.155460179968775	0.71398670639377	0.679418564307978
Tyrosine_metabolism	2.953	2.938	0.754253180966035	0.791584110119455	0.824091438462891	0.999973330728242
Ether_lipid_metabolism	1.568	1.644	0.583866985831579	0.715245224623423	0.682141627011151	0.999973330728242
Carotenoid_biosynthesis	1.178	1.13	0.211089204815952	0.00428549869422049	0.319340079080543	0.0842814743196696
Streptomycin_biosynthesis	3.468	3.359	0.14142617184619	0.869199615234455	0.256742896582314	0.999973330728242
Nitrotoluene_degradation	2.624	2.342	0.00912522830589059	0.999810270559743	0.0299104705581969	0.999973330728242
Taurine_and_hypotaurine_metabolism	3.062	2.67	0.019371550731445	0.999835144881667	0.0556789206348287	0.999973330728242
Polycyclic_aromatic_hydrocarbon_degradation	1.445	1.385	0.256563644170606	0.0378143050452154	0.378431375151644	0.297472533022361
Glutathione_metabolism	2.896	3.2	2.7930219627864e-05	0.209983214036777	0.000219717727739197	0.75084906837393
Ethylbenzene_degradation	0.168	0.255	0.315413804691624	0.0275684856353219	0.422941238109224	0.257497703547058
Steroid_biosynthesis	1.031	1.272	0.121648453555423	0.00285186586914626	0.227849484437141	0.0766679235263472
Histidine_metabolism	3.427	3.319	0.132338666207383	0.929801321071317	0.243999415819862	0.999973330728242
Photosynthesis	0.681	0.694	0.852004839231989	0.218548895255305	0.906383316382114	0.758493224709588
Sphingolipid_metabolism	2.928	2.799	0.119384302607968	0.915136176474912	0.227215285608713	0.999973330728242
Thiamine_metabolism	3.528	3.429	7.1985321349348e-05	0.510074000544865	0.000499662818777827	0.999973330728242
Phosphonate_and_phosphinate_metabolism	2.602	2.337	0.0138034490729923	0.99982553041914	0.0417642818105921	0.999973330728242
D_Alanine_metabolism	3.41	3.257	0.0735294798828185	0.943352905169084	0.157754156839501	0.999973330728242
Arginine_and_proline_metabolism	3.2	3.225	0.695628329430952	0.933849965108097	0.774378706347663	0.999973330728242
Glycerolipid_metabolism	2.865	2.846	0.665122320290364	0.613347199789241	0.754658017252528	0.999973330728242
Biosynthesis_of_type_II_polyketide_backbone	0.681	0.508	0.0852071390448593	0.0758168368257583	0.171658057441676	0.388973336758238
Tryptophan_metabolism	2.506	2.753	0.000133674731442002	0.699026026087928	0.000830190437376645	0.999973330728242
beta_Lactam_resistance	1.798	2.075	0.085829028720838	0.239554343384615	0.171658057441676	0.785205903316238
Limonene_and_pinene_degradation	2.427	2.002	0.0238031629362486	0.409929336115649	0.0584002895505059	0.999973330728242
Folate_biosynthesis	3.331	3.252	0.260915679420842	0.88319484576848	0.380099384835301	0.999973330728242
Purine_metabolism	3.223	3.211	0.852614814562836	0.999873850352329	0.906383316382114	0.999973330728242
Nicotinate_and_nicotinamide_metabolism	3.347	3.266	0.000155885061862206	0.0670449052421935	0.000919721864987016	0.379401826901544
Benzoate_degradation	2.573	2.501	0.338835545272644	0.999830502914849	0.439369168595297	0.999973330728242
Xylene_degradation	0.132	0.183	0.380788500001934	0.183447913282804	0.488402641306829	0.746443233357615
Phenylpropanoid_biosynthesis	0.259	0.337	0.282427650845957	0.00324864082738759	0.392076032939093	0.0766679235263472
Glycine_serine_and_threonine_metabolism	3.351	3.217	3.79736764997618e-06	0.637345993039699	4.97877091885766e-05	0.999973330728242
Lysine_biosynthesis	3.446	3.352	0.191617756645123	0.999826377484961	0.301478603788327	0.999973330728242
Naphthalene_degradation	2.154	2.163	0.964223980063751	0.480428462842641	0.96752221925895	0.999973330728242
Lipoic_acid_metabolism	3.319	3.592	0.000944024428712623	0.0250608381472543	0.00397838866386034	0.257497703547058
