wgs	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
K01369: legumain	0.177706840764993	0.277339255852276	0.0732511755890348	0.0489983914204198	0.357736767190794	0.488964201545622	0.136527353634816	0.867755394695021	0.0115572859284469	0.0547253593717606	0.643482181409681	0.51997293759752	0.162757932153374	0.996109716538046	0.0747799610839303
K01368: cathepsin S	0.0575777253408665	0.0884396303971908	0.152937397247587	0.0267063868070552	0.479339185248654	0.0140219250455071	0.226272613072904	0.0463885278567645	0.0301227665787637	0.0306373495089606	0.778032820703551	0.0185506319826129	0.260806929705504	0.996109716538046	0.141659167555626
K01407: protease III	0.278154140652552	0.393659838639686	0	2.86703381423399e-07	0.193747504759592	0.00316941211607868	0.000246550206823404	0.979357281822922	0.000184126527850474	5.16320557019002e-07	0.41865142402259	0.00450016597867295	0.000440749224356552	0.998718318871733	0.00549401066189136
K01364: streptopain	0.386555935120035	0.612473871519056	0.0990510794765108	3.08821933251899e-05	0.109594980267706	0.104508297482876	0.00571104647362075	0.898162271257826	1.72891974673472e-06	4.76501674956733e-05	0.275435443802447	0.122641605316805	0.00850578416562993	0.996109716538046	0.000328872953074195
K01366: cathepsin H	0.0637686027964617	0.0864951801289669	0.215509732988155	0.0183120658914045	0.846167356086811	0.0112477636155403	0.0863229526181415	0.230157329612379	0.572876964858231	0.0213535526975056	0.999999996206915	0.0150704682209539	0.106776633323842	0.996109716538046	0.889113229243257
K01361: lactocepin	0.568174181434103	0.629761679223237	0.146961009076354	6.96060838477748e-08	0.644444442933906	9.22966760041888e-06	1.24896321611612e-05	0.852509687236472	0.00622246308730156	1.30527489951141e-07	0.918542812434876	1.60471255880462e-05	2.52405016484024e-05	0.996109716538046	0.0515441673524574
K01360: proprotein convertase subtilisin/kexin type 2	0.239896966035012	0.313186458689505	0.125146333422967	0.0104838865916775	0.325148182707336	0.177867665449138	0.0344493880427469	0.425308178845926	0.0220577979372723	0.0125300250703988	0.603775774295166	0.202483725376642	0.0455063856371963	0.996109716538046	0.116809284163203
K01362	2.22932979457801	2.1067588460584	0.528114915751063	1.47786821493257e-39	0.0835773213518072	1.66533453693773e-15	1.66533453693773e-15	0.277131430115062	0.999857738996151	1.28511197489922e-37	0.22490501992416	6.8261894453468e-15	1.6951323288194e-14	0.996109716538046	0.999998145862406
K09174: regulatory factor X 4	0.0155988775774264	0.00956336072935907	0.181369734828108	0.000141900704379354	0.979308936309308	0.000115182771231681	0.000659740203082904	0.641157164603422	0.266081964683925	0.000207432657914776	0.999999996206915	0.00018626926899236	0.00111799516040246	0.996109716538046	0.551085715900323
K05841: sterol 3beta-glucosyltransferase	0.145367227316382	0.0362947572645188	0.0346934030361449	0.023672011275354	0.0502576721121502	0.140243239656453	0.999689462014759	0.595357749562185	0.839233389640022	0.0272900629986893	0.15608084191156	0.161708770560491	0.999985557525021	0.996109716538046	0.999998145862406
K05844: ribosomal protein S6 modification protein	0.548900803854088	0.547797387947643	0.0779369187025969	0.000126936204639021	0.999933990509372	0.000867513302866385	0.00509488560244453	0.952445088223974	0.186279751415346	0.000186138443179408	0.999999996206915	0.00129775214415033	0.00764044559302288	0.997783912709747	0.437286867283152
K05845: osmoprotectant transport system substrate-binding protein	0.997179425659937	0.916736715094557	0	7.70664282635998e-16	0.562142488368562	2.8421709430404e-14	1.49347201272576e-12	0.0445390379312398	0.416378366725917	2.17984827528128e-15	0.852669156914886	8.48160947682968e-14	4.93794901763265e-12	0.996109716538046	0.728303194902488
K05846: osmoprotectant transport system permease protein	1.08275704825189	0.96291397236556	0	1.16581822205479e-14	0.374839398103339	3.00870439673417e-14	4.36958247362895e-11	0.204211596139613	0.749221424738053	3.10970005155455e-14	0.661155437918002	8.48160947682968e-14	1.30380629985193e-10	0.996109716538046	0.999998145862406
K05847: osmoprotectant transport system ATP-binding protein	1.26789879901127	1.17799888527355	0.0269281146826884	1.16028702157266e-27	0.301393007426376	1.66533453693773e-15	1.88737914186277e-15	0.531336528490598	0.807496440662433	7.51394131879699e-27	0.571520011278614	6.8261894453468e-15	1.71983186175429e-14	0.996109716538046	0.999998145862406
K01365: cathepsin L	0.263054031964436	0.379765337061043	0.770079739488828	5.23974029130794e-06	0.241846540849264	3.62386657570823e-07	0.000919802913214918	0.07147385177813	0.26980930576296	8.61309725984106e-06	0.489890147803484	6.82924948802973e-07	0.00152848493932274	0.996109716538046	0.555591760547746
K00502: tryptophan 5-monooxygenase	0.0395348918268964	0.0600572084693124	0.23876617050432	0.00178120454460553	0.881984641510308	0.000954400074722805	0.0142557560927096	0.894087190465687	0.999871600117886	0.00231621278850969	0.999999996206915	0.00142144195126932	0.0200126354557941	0.996109716538046	0.999998145862406
K00500: phenylalanine-4-hydroxylase	0.019048562645495	0.191410068027346	0.404560381951023	3.04032323359868e-08	0.00249777629641368	3.88471002032986e-08	0.0129465057601245	0.601220486764059	0.999852793053971	5.78869174942607e-08	0.0178659980214689	7.71995752326081e-08	0.01832257162564	0.996109716538046	0.999998145862406
K04468: nemo like kinase	0.0184294349536186	0.0398799777836948	0.145343400479697	0.000633635646336884	0.675854343963409	0.000335459380825687	0.0144060294970337	0.65567224324011	0.242015135182124	0.000863622968932516	0.941223582017253	0.000520107297780427	0.0202002998268704	0.996109716538046	0.516825723464005
K01101: 4-nitrophenyl phosphatase	1.0743388577969	0.959265537702964	0	1.29051854371603e-24	0.290329192062506	1.47659662275146e-14	7.91589016557737e-14	0.788332329399838	7.36501252414181e-06	6.10794539499607e-24	0.557487000657562	4.92225829281935e-14	2.87494173256977e-13	0.996109716538046	0.000800550557758058
K04460: protein phosphatase 5	0.570497312948798	0.701850100969324	0.0784718905185642	9.14188345065779e-11	0.0745592468467002	3.11930159480056e-09	1.47399425998174e-10	0.948743149305526	0.176681852180518	2.00528448879834e-10	0.207423279504508	6.5563497263643e-09	4.25021461890518e-10	0.997723061740276	0.422810362194096
K01103: fructose-2,6-bisphosphatase	0.157659739145072	0.333107020098567	0.496871721189746	0.000594701596696056	0.0436327280229639	0.000828295260055789	0.273051165032346	0.941051048108207	0.526446310651088	0.000813106158824998	0.140366845146182	0.00124091391778479	0.310086276408934	0.996642169651946	0.84284026642114
K01104: protein-tyrosine phosphatase	2.37060528874261	2.35740000096393	2.74577075921678	1.32611795605171e-07	0.961628944212681	4.54640983749144e-08	1.04400445621877e-06	0.548948166294567	0.999855070572538	2.44682631054464e-07	0.999999996206915	9.01433116638775e-08	2.31844404414581e-06	0.996109716538046	0.999998145862406
K05592: ATP-dependent RNA helicase DeaD	1.9969638688605	1.82354301267004	0.413872338747657	3.96675281547577e-31	0.035583879082845	1.66533453693773e-15	1.66533453693773e-15	0.641934233376795	0.347638208601066	3.94541683717731e-30	0.120217753106792	6.8261894453468e-15	1.6951323288194e-14	0.996109716538046	0.651500546722502
