MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	19.869927940167	0.012	0.067	-0.012	0.06	0.0003335	7.455e-15
MDS2	15.8971261349515	0.044	0.035	-0.044	0.058	8.07e-34	0.00786
MDS3	9.30227199102519	-0.001	0.061	0.001	0.068	0.796	4.86e-12
MDS4	7.83965761495091	0.02	0.056	-0.02	0.067	5.9325e-08	2.17e-08
MDS5	6.14614984149408	-0.002	0.068	0.002	0.062	0.714230769230769	1.1725e-05
MDS6	5.32244629218404	0.003	0.07	-0.003	0.06	0.708	0.0001455
MDS7	4.54873747351493	0.007	0.052	-0.008	0.075	0.10275	0.0001455
MDS8	3.87491151237764	-0.005	0.07	0.005	0.059	0.301875	1.005e-05
MDS9	3.06100360897863	0.009	0.062	-0.009	0.067	0.045	9.75e-07
MDS10	2.28370636063662	0.002	0.061	-0.003	0.068	0.714230769230769	0.0104863636363636
MDS11	2.13731193654196	0.001	0.067	-0.001	0.063	0.796	0.04425
MDS12	1.82697210781621	0.002	0.066	-0.002	0.064	0.714230769230769	0.042
MDS13	1.74047479817328	-0.006	0.062	0.006	0.067	0.214285714285714	0.0028
MDS14	1.52514055207191	0.003	0.055	-0.003	0.073	0.68	0.13
MDS15	1.33938304721052	0.009	0.062	-0.009	0.066	0.0561	0.042
