wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)
Mucin_type_O_glycan_biosynthesis	0.201	0.46	0.866	0.679	5.40619835526235e-08	0.642374746184731	1.27586281184192e-06	0.999973330728242
Fatty_acid_elongation_in_mitochondria	0.484	0.815	0.538	0.777	0.952885503424258	0.0188057224683041	0.96752221925895	0.246563916806654
Glycolysis_Gluconeogenesis	3.297	0.343	3.231	0.153	0.300277571198226	0.803729601948987	0.409063449200301	0.999973330728242
Drug_metabolism_other_enzymes	1.93	0.425	2.178	0.628	0.0203494314909334	0.304031661149476	0.0556789206348287	0.96961448690914
Tropane_piperidine_and_pyridine_alkaloid_biosynthesis	0.902	0.415	0.691	0.38	0.00862051516099934	0.03076115276014	0.0290634511142263	0.259272573264037
Ascorbate_and_aldarate_metabolism	2.631	0.166	2.607	0.278	0.578738333344795	0.77414529139143	0.682141627011151	0.999973330728242
Various_types_of_N_glycan_biosynthesis	0.363	0.417	0.319	0.39	0.605045369259172	0.812341945585744	0.699954446790022	0.999973330728242
Benzoxazinoid_biosynthesis	0.236	0.116	0.194	0.157	0.083861607570149	0.0455457374506782	0.171658057441676	0.322592560052789
Sulfur_metabolism	3.149	0.337	3.059	0.23	0.190459920254461	0.999868215150696	0.301478603788327	0.999973330728242
Pentose_phosphate_pathway	3.45	0.36	3.377	0.165	0.301597627800222	0.999871009551034	0.409063449200301	0.999973330728242
Styrene_degradation	1.446	1.001	0.978	0.983	0.014719401963628	0.202430328376235	0.0434222357927025	0.746461835887366
Aminobenzoate_degradation	2.47	0.333	2.303	0.439	0.0325954950117013	0.999861454719	0.0769253682276151	0.999973330728242
Fatty_acid_biosynthesis	3.38	0.354	3.293	0.173	0.210673053939241	0.999835505274946	0.319340079080543	0.999973330728242
Carbon_fixation_in_photosynthetic_organisms	0.978	0.402	0.946	0.55	0.623225684394562	0.155460179968775	0.71398670639377	0.679418564307978
Tyrosine_metabolism	2.953	0.314	2.938	0.135	0.754253180966035	0.791584110119455	0.824091438462891	0.999973330728242
Ether_lipid_metabolism	1.568	0.598	1.644	0.489	0.583866985831579	0.715245224623423	0.682141627011151	0.999973330728242
Carotenoid_biosynthesis	1.178	0.416	1.13	0.55	0.211089204815952	0.00428549869422049	0.319340079080543	0.0842814743196696
Streptomycin_biosynthesis	3.468	0.374	3.359	0.261	0.14142617184619	0.869199615234455	0.256742896582314	0.999973330728242
Nitrotoluene_degradation	2.624	0.369	2.342	0.786	0.00912522830589059	0.999810270559743	0.0299104705581969	0.999973330728242
Taurine_and_hypotaurine_metabolism	3.062	0.634	2.67	1.115	0.019371550731445	0.999835144881667	0.0556789206348287	0.999973330728242
Polycyclic_aromatic_hydrocarbon_degradation	1.445	1.38	1.385	1.356	0.256563644170606	0.0378143050452154	0.378431375151644	0.297472533022361
Glutathione_metabolism	2.896	0.334	3.2	0.275	2.7930219627864e-05	0.209983214036777	0.000219717727739197	0.75084906837393
