wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
African_trypanosomiasis	0.977	0.452	1.233	0.638	0.0898	0.0754	0.142623529411765	0.462994594594595	0.022	0.204
Fatty_acid_elongation_in_mitochondria	0.484	0.815	0.538	0.777	0.953	0.0188	0.961906542056075	0.339	0.008	0.236
Glycolysis_Gluconeogenesis	3.297	0.343	3.231	0.153	0.3	0.804	0.378947368421053	1	0.015	0.061
Drug_metabolism_other_enzymes	1.93	0.425	2.178	0.628	0.0203	0.304	0.0398618181818182	0.950438356164384	0.051	0.14
Ascorbate_and_aldarate_metabolism	2.631	0.166	2.607	0.278	0.579	0.774	0.651375	1	0.003	0.03
Neurotrophin_signaling_pathway	0.204	0.372	0.806	0.725	6.35e-08	0.857	4.572e-07	1	0.23	0.244
Benzoxazinoid_biosynthesis	0.236	0.116	0.194	0.157	0.0839	0.0455	0.136258646616541	0.427592	0.031	0.226
Styrene_degradation	1.446	1.001	0.978	0.983	0.0147	0.202	0.0296747663551402	0.773762711864407	0.046	0.168
MAPK_signaling_pathway_fly	0.061	0.238	0.397	0.428	7.34e-07	1	3.86692682926829e-06	1	0.189	0.189
Aminobenzoate_degradation	2.47	0.333	2.303	0.439	0.0326	1	0.0596745762711864	1	0.037	0.037
Fatty_acid_biosynthesis	3.38	0.354	3.293	0.173	0.211	1	0.28485	1	0.018	0.018
Carbon_fixation_in_photosynthetic_organisms	0.978	0.402	0.946	0.55	0.623	0.155	0.686571428571428	0.7006	0.002	0.138
Tyrosine_metabolism	2.953	0.314	2.938	0.135	0.754	0.792	0.798352941176471	1	0.009	0.056
Vibrio_cholerae_pathogenic_cycle	1.868	0.28	1.786	0.395	0.152	0.142	0.221837837837838	0.692425531914894	0.024	0.164
Ether_lipid_metabolism	1.568	0.598	1.644	0.489	0.584	0.715	0.65359585492228	1	0.018	0.055
