wgs	stoolMeans	stoolSDs	swabMeans	swabSDs	tissueMeans	tissueSDs	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
K01369: legumain	0.178	0.319	0.277	0.418	0.073	0.293	0.148853438465087	0.357736767190794	0.488964201545622	0.136527353634816	0.875179112822431	0.0115572859284469	0.161193894313643	0.643482181409681	0.51997293759752	0.162757932153374	0.999248226209326	0.0747799610839303
K01368: cathepsin S	0.058	0.099	0.088	0.139	0.153	0.22	0.015769659305601	0.479339185248654	0.0140219250455071	0.226272613072904	0.0664145984289682	0.0301227665787637	0.0193294233171956	0.778032820703551	0.0185506319826129	0.260806929705504	0.999248226209326	0.141659167555626
K01407: protease III	0.278	0.304	0.394	0.399	0	0	0.000382350415823839	0.193747504759592	0.00316941211607868	0.000246550206823404	0.981132897387018	0.000184126527850474	0.000571413449820699	0.41865142402259	0.00450016597867295	0.000440749224356552	0.999248226209326	0.00549401066189136
K01364: streptopain	0.387	0.469	0.612	0.715	0.099	0.396	0.00774339843936539	0.109594980267706	0.104508297482876	0.00571104647362075	0.891155382036975	1.72891974673472e-06	0.00990627707028523	0.275435443802447	0.122641605316805	0.00850578416562993	0.999248226209326	0.000328872953074195
K01366: cathepsin H	0.064	0.16	0.086	0.154	0.216	0.372	0.0158544598725117	0.846167356086811	0.0112477636155403	0.0863229526181415	0.239371694000451	0.572876964858231	0.0194099149726426	0.999999996206915	0.0150704682209539	0.106776633323842	0.999248226209326	0.889113229243257
K01361: lactocepin	0.568	0.322	0.63	0.369	0.147	0.19	4.80008011683664e-06	0.644444442933906	9.22966760041888e-06	1.24896321611612e-05	0.875080300100679	0.00622246308730156	8.37674531857357e-06	0.918542812434876	1.60471255880462e-05	2.52405016484024e-05	0.999248226209326	0.0515441673524574
K01360: proprotein convertase subtilisin/kexin type 2	0.24	0.23	0.313	0.268	0.125	0.235	0.0448805222213222	0.325148182707336	0.177867665449138	0.0344493880427469	0.481021310511392	0.0220577979372723	0.0515059839293341	0.603775774295166	0.202483725376642	0.0455063856371963	0.999248226209326	0.116809284163203
K01362	2.229	0.18	2.107	0.257	0.528	0.577	9.44376208980912e-50	0.0835773213518072	1.66533453693773e-15	1.66533453693773e-15	0.276104748212351	0.999857738996151	8.33104055661857e-48	0.22490501992416	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K09174: regulatory factor X 4	0.016	0.107	0.01	0.028	0.181	0.344	0.000137758451836944	0.979308936309308	0.000115182771231681	0.000659740203082904	0.652173744570247	0.266081964683925	0.000215285159520277	0.999999996206915	0.00018626926899236	0.00111799516040246	0.999248226209326	0.551085715900323
K05841: sterol 3beta-glucosyltransferase	0.145	0.241	0.036	0.132	0.035	0.139	0.0214203950805088	0.0502576721121502	0.140243239656453	0.999689462014759	0.598059174516642	0.839233389640022	0.025717148886599	0.15608084191156	0.161708770560491	0.999985557525021	0.999248226209326	0.999998145862406
K05844: ribosomal protein S6 modification protein	0.549	0.482	0.548	0.494	0.078	0.312	0.00116627826916302	0.999933990509372	0.000867513302866385	0.00509488560244453	0.944955454707519	0.186279751415346	0.00165096181962682	0.999999996206915	0.00129775214415033	0.00764044559302288	0.999248226209326	0.437286867283152
K05845: osmoprotectant transport system substrate-binding protein	0.997	0.349	0.917	0.518	0	0	2.10665104697536e-17	0.562142488368562	2.8421709430404e-14	1.49347201272576e-12	0.0524676329096935	0.416378366725917	6.21579492144401e-17	0.852669156914886	8.48160947682968e-14	4.93794901763265e-12	0.999248226209326	0.728303194902488
K05846: osmoprotectant transport system permease protein	1.083	0.401	0.963	0.569	0	0	3.66827149359397e-16	0.374839398103339	3.00870439673417e-14	4.36958247362895e-11	0.21037018527467	0.749221424738053	1.02583539812781e-15	0.661155437918002	8.48160947682968e-14	1.30380629985193e-10	0.999248226209326	0.999998145862406
K05847: osmoprotectant transport system ATP-binding protein	1.268	0.275	1.178	0.37	0.027	0.057	4.45625415930344e-33	0.301393007426376	1.66533453693773e-15	1.88737914186277e-15	0.5357437727734	0.807496440662433	3.03414083531097e-32	0.571520011278614	6.8261894453468e-15	1.71983186175429e-14	0.999248226209326	0.999998145862406
K01365: cathepsin L	0.263	0.285	0.38	0.35	0.77	0.572	6.65389581121222e-07	0.241846540849264	3.62386657570823e-07	0.000919802913214918	0.0820746627529276	0.26980930576296	1.22585544197484e-06	0.489890147803484	6.82924948802973e-07	0.00152848493932274	0.999248226209326	0.555591760547746
K00502: tryptophan 5-monooxygenase	0.04	0.155	0.06	0.205	0.239	0.374	0.00152590120636223	0.881984641510308	0.000954400074722805	0.0142557560927096	0.893982208514732	0.999871600117886	0.00212835945076235	0.999999996206915	0.00142144195126932	0.0200126354557941	0.999248226209326	0.999998145862406
K00500: phenylalanine-4-hydroxylase	0.019	0.097	0.191	0.352	0.405	0.485	9.87710326032544e-09	0.00249777629641368	3.88471002032986e-08	0.0129465057601245	0.60076644351472	0.999852793053971	2.00673990472633e-08	0.0178659980214689	7.71995752326081e-08	0.01832257162564	0.999248226209326	0.999998145862406
K04468: nemo like kinase	0.018	0.061	0.04	0.098	0.145	0.298	0.000565726577406253	0.675854343963409	0.000335459380825687	0.0144060294970337	0.665286059710239	0.242015135182124	0.000829777753414906	0.941223582017253	0.000520107297780427	0.0202002998268704	0.999248226209326	0.516825723464005
K01101: 4-nitrophenyl phosphatase	1.074	0.35	0.959	0.459	0	0	4.03446937296707e-20	0.290329192062506	1.47659662275146e-14	7.91589016557737e-14	0.83835232563011	7.36501252414181e-06	1.32877381360411e-19	0.557487000657562	4.92225829281935e-14	2.87494173256977e-13	0.999248226209326	0.000800550557758058
K04460: protein phosphatase 5	0.57	0.291	0.702	0.263	0.078	0.204	1.05499010785867e-10	0.0745592468467002	3.11930159480056e-09	1.47399425998174e-10	0.935133838398507	0.176681852180518	2.38548469039217e-10	0.207423279504508	6.5563497263643e-09	4.25021461890518e-10	0.999248226209326	0.422810362194096
K01103: fructose-2,6-bisphosphatase	0.158	0.236	0.333	0.433	0.497	0.599	0.00031465395705841	0.0436327280229639	0.000828295260055789	0.273051165032346	0.940950467165928	0.526446310651088	0.000475378167439697	0.140366845146182	0.00124091391778479	0.310086276408934	0.999248226209326	0.84284026642114
K01104: protein-tyrosine phosphatase	2.371	0.261	2.357	0.162	2.746	0.069	5.15488830396985e-08	0.961628944212681	4.54640983749144e-08	1.04400445621877e-06	0.548415664790415	0.999855070572538	1.00828422577971e-07	0.999999996206915	9.01433116638775e-08	2.31844404414581e-06	0.999248226209326	0.999998145862406
K05592: ATP-dependent RNA helicase DeaD	1.997	0.274	1.824	0.407	0.414	0.43	1.87613191014347e-37	0.035583879082845	1.66533453693773e-15	1.66533453693773e-15	0.654427459671453	0.347638208601066	1.87213359623661e-36	0.120217753106792	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.651500546722502
K05590: ATP-dependent RNA helicase SrmB	0.424	0.271	0.378	0.346	0.024	0.044	1.62168521954256e-06	0.714198838623414	7.68823993468892e-07	0.000187248444427635	0.717335183587628	0.010112070416959	2.91529767612391e-06	0.967160251565838	1.42071391871437e-06	0.000338414869724172	0.999248226209326	0.0687733772380217
K05591: ATP-independent RNA helicase DbpA	1.244	0.287	1.083	0.358	0.119	0.281	6.35045668493135e-27	0.0360771421592591	1.66533453693773e-15	2.78665979180914e-14	0.346552392942118	0.523776391652813	2.78295391225177e-26	0.121393899570708	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.839891173864771
K05596: LysR family transcriptional regulator, chromosome initiation	0.358	0.398	0.284	0.456	0.09	0.36	0.048262013986512	0.670136460993659	0.0407156010151104	0.282567445733054	0.366192262750217	0.00847145309818038	0.0551578819256287	0.938817807958575	0.050558111664418	0.320057320836825	0.999248226209326	0.0615345690655723
K05597: glutamin-(asparagin-)ase	0.48	0.248	0.471	0.286	0	0	9.3381694872265e-11	0.984310814400897	5.58072477119254e-11	2.06435676330941e-08	0.721946487115864	0.0227211470033442	2.1185776246272e-10	0.999999996206915	1.28285013905774e-10	5.14567551935477e-08	0.999248226209326	0.119022049749876
K05595: multiple antibiotic resistance protein	1.842	0.404	1.543	0.591	0.157	0.428	4.51769887708944e-27	0.00644852553625441	1.66533453693773e-15	2.94209101525666e-14	0.864570615490745	0.165290830232257	2.00139978637871e-26	0.0349709380934403	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.405455797531873
K11610: beta-ketoacyl ACP reductase	0.185	0.106	0.159	0.12	0	0	5.37821591712384e-09	0.483728121672937	2.17764839494095e-09	7.70506344505151e-06	0.666654375044719	0.00770084205969369	1.11011191208996e-08	0.782059250099115	4.62019720460284e-09	1.58985495559419e-05	0.999248226209326	0.058962296374032
K14541	0.053	0.046	0.061	0.064	0.001	0.004	0.000155557101357987	0.723150564367903	0.000244779228772751	0.000288966923525646	0.225081551098079	0.443600008853286	0.000241982130326109	0.972178939796758	0.000383914240025699	0.000511766559063314	0.999248226209326	0.756780620484852
K14540	1.505	0.437	1.432	0.437	0.013	0.052	7.34848999532992e-26	0.692852419678888	1.66533453693773e-15	1.89848137210902e-14	0.95994687255729	0.123309113949357	3.04080615918241e-25	0.953602288436827	6.8261894453468e-15	1.05055055563887e-13	0.999248226209326	0.341951059958877
K02044: phosphonate transport system substrate-binding protein	0.911	0.436	0.897	0.478	0	0	1.98893787060302e-12	0.98740256928149	1.25588428545598e-12	9.18835119101402e-10	0.902327668796347	0.101813627476491	4.82529486582726e-12	0.999999996206915	3.08454821453643e-12	2.51707892437904e-09	0.999248226209326	0.302164578473623
K04333: LuxR family transcriptional regulator, csgAB operon transcriptional	0.294	0.323	0.312	0.4	0	0	0.00295125898130451	0.962982502146232	0.00272113202817559	0.00696221625477311	0.827764747199222	0.0130532302219723	0.00398410144581959	0.999999996206915	0.00388541652721201	0.0102463758082215	0.999248226209326	0.0811414750036768
K05578: NADH dehydrogenase I subunit 6	0.253	0.219	0.235	0.266	0	0	0.000140325546670737	0.917389743466769	8.22286256306759e-05	0.00208559688189214	0.177163476544627	0.999849046372965	0.000219184398918341	0.999999996206915	0.000134261170658241	0.00331636055905889	0.999248226209326	0.999998145862406
K05336: solute carrier family 6 (neurotransmitter transporter), invertebrate	0.072	0.049	0.112	0.144	0.067	0.115	0.0722589430371646	0.0686904114427259	0.979295465499962	0.210781423498944	0.686688477509334	0.999968807417647	0.0808827117078376	0.196207665158082	0.98839583611009	0.244572345565779	0.999248226209326	0.999998145862406
K05337: ferredoxin	1.21	0.572	1.029	0.678	0.127	0.507	1.87954208298577e-09	0.324267187997769	7.62166219026028e-10	8.43204236589123e-06	0.837461549259317	0.999827782234894	3.97249050664388e-09	0.60269141170761	1.65512157517354e-09	1.73105706175986e-05	0.999248226209326	0.999998145862406
K02106: short-chain fatty acids transporter	0.69	0.402	0.756	0.532	0.076	0.303	5.23424675507477e-07	0.74528631380138	8.07755207943295e-07	2.61387407907154e-06	0.310364806781732	0.817949418070054	9.69594035244678e-07	0.9880887042223	1.48994119719722e-06	5.63009607901928e-06	0.999248226209326	0.999998145862406
K02455: general secretion pathway protein F	0.668	0.334	0.686	0.429	0.164	0.451	3.83721308585262e-06	0.973475161556607	3.21788352508623e-06	3.6092559547618e-05	0.159347995902045	0.000152925068655428	6.73892557806834e-06	0.999999996206915	5.7575711396825e-06	6.97224404844021e-05	0.999248226209326	0.00474925965768158
K05332: solute carrier family 6 (neurotransmitter transporter), member 17	0.073	0.067	0.122	0.16	0.086	0.196	0.110994068984735	0.0910218847833676	0.898905408502499	0.537718239669453	0.500904529105727	0.999932118356695	0.121558275982383	0.239744791292236	0.917905925441153	0.58323074213613	0.999248226209326	0.999998145862406
K05333: solute carrier family 6 (neurotransmitter transporter), member 18	0.054	0.042	0.109	0.141	0.089	0.149	0.00856378578320814	0.00954455280931255	0.294118223849569	0.737648287533897	0.181920104954138	0.999966169977234	0.0108894430880276	0.0469666070737958	0.323275122530214	0.778174198651443	0.999248226209326	0.999998145862406
K02103: GntR family transcriptional regulator, arabinose operon	0.898	0.326	0.806	0.386	0.108	0.299	7.48272708254762e-14	0.414267017712631	5.6399329650958e-14	2.27124929974565e-09	0.785611548698708	0.99982621467549	1.92101896885143e-13	0.702407614712196	1.47024719308514e-13	6.08231169711912e-09	0.999248226209326	0.999998145862406
K10561: rhamnose transport system permease protein	0.136	0.236	0.144	0.17	0.037	0.143	0.216852674035206	0.982140546426295	0.212599063385946	0.259173713120637	0.743884250348761	0.19372927121289	0.230122424486105	0.999999996206915	0.239070847742518	0.295539601304856	0.999248226209326	0.449916090756528
K02108: F-type H+-transporting ATPase subunit a	1.992	0.244	1.901	0.254	1.14	0.559	8.71333192274686e-19	0.327907549580036	2.29816166097407e-14	4.89830398464619e-13	0.58038814331779	0.999842590265443	2.71850596687648e-18	0.606478584084003	7.28968735296987e-14	1.67129912301241e-12	0.999248226209326	0.999998145862406
K02109: F-type H+-transporting ATPase subunit b	1.899	0.332	1.595	0.607	0.285	0.619	8.89213866097836e-27	0.00396273334698172	1.66533453693773e-15	3.03090885722668e-14	0.263449808344633	0.256182073140827	3.86617485924109e-26	0.0246890049980325	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.537902821389518
K05339: holin-like protein LrgB	1.461	0.407	1.32	0.59	0.202	0.556	3.56853848488045e-17	0.33404936302682	2.96429547574917e-14	8.9198648467459e-12	0.708885027773284	0.972549818572967	1.0413084255737e-16	0.614658946630328	8.48160947682968e-14	2.78579873381951e-11	0.999248226209326	0.999998145862406
K02193: heme exporter ATP-binding protein CcmA	0.617	0.315	0.554	0.383	0.017	0.04	4.36623690169422e-10	0.620897743755064	1.74560699228721e-10	6.09340114143819e-07	0.523049120535512	0.749539176019927	9.52590825111567e-10	0.902765136476163	3.89498158433e-10	1.38088357214945e-06	0.999248226209326	0.999998145862406
K02191: precorrin-8W decarboxylase	1.116	0.353	0.965	0.485	0	0	1.76527858649737e-20	0.132837970878038	1.29896093881143e-14	1.52877710490884e-13	0.801356651094936	0.676010776819774	5.91047896370158e-20	0.319094210234655	4.38777759963662e-14	5.37589037410752e-13	0.999248226209326	0.982562843500305
