MDS Axis	% variation explained	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin adj p-value	Participant adj p-value
MDS1	38.4315578863356	-0.014	0.075	-0.055	0.097	0.0455	0.000237
MDS2	20.0576917202062	0.021	0.074	0.088	0.054	0.015375	0.1623
MDS3	9.42071515878096	0.035	0.065	-0.112	0.079	2.055e-07	0.2955
MDS4	5.12454328377745	-0.008	0.086	0.008	0.059	0.885	1
MDS5	4.18469558859809	-0.005	0.087	-0.001	0.114	0.687	0.1265
MDS6	3.19721735216497	-0.003	0.071	-0.004	0.065	0.885	0.288333333333333
MDS7	2.69777064275422	-0.003	0.076	-0.003	0.101	0.885	0.1623
MDS8	2.04853601911755	0.006	0.085	0.011	0.067	0.885	0.853846153846154
MDS9	1.98747797487363	0.004	0.088	0.024	0.067	0.885	0.1905
MDS10	1.80798545098175	0.005	0.089	0.013	0.067	0.885	0.1265
MDS11	1.55966402727649	0.012	0.082	-0.024	0.089	0.3165	0.507272727272727
MDS12	1.35294231448351	-0.002	0.093	0.001	0.059	0.885	0.288333333333333
MDS13	1.28628801964138	0	0.084	0.005	0.06	0.885	0.288333333333333
MDS14	1.15258196851944	0.01	0.076	-0.005	0.082	0.885	1
MDS15	1.07075953509646	-0.003	0.075	0.023	0.055	0.705	0.585
