Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	23.4061160421641	1.56840378435203e-10	8.18085377642582e-07	8.47437518473184e-06
MDS2	9.16942098995528	0.00110708741557503	0.00839293805026014	2.99472852307297e-06
MDS3	8.01644835506424	0.146273437323069	0.164908713873571	0.000248752028671082
MDS4	6.90085890108028	0.0125783036573224	0.0353387974967475	0.0167561500685364
MDS5	5.67942675026691	0.0493365702123443	0.0816999308316523	4.6881637823773e-05
MDS6	4.69681482334462	0.306594833037422	0.27674697025056	0.00113990094109173
MDS7	4.29955557018621	0.0298171239693902	0.0597501091527451	0.0674903973904957
MDS8	3.53814725737713	0.640045818101353	0.504562293361188	0.640646430588658
MDS9	3.13122984753145	0.0595471866315836	0.0919788023674147	0.415466349663132
MDS10	2.87840020767305	0.967918273976923	0.856946961307665	0.130424301001884
MDS11	2.76710998252817	0.186982432573954	0.194817813821028	0.0329747384679335
MDS12	2.74345497736372	0.305494512398149	0.276014703212011	0.0181685392623174
MDS13	2.29273813851873	0.139997157152374	0.160136472116415	0.000192766304135305
MDS14	2.07964159855624	0.0713185207662284	0.103151854431379	0.0883104014603073
MDS15	1.97523575107074	0.266621934298431	0.249974875055667	0.000560418015826447
MDS16	1.87599650476874	0.279098956083882	0.258374175707671	0.148609182169025
