Taxa	correlation
Veillonella	0.684575535778002
Paludibacter	0.260864479855805
Olsenella	0.461353589773853
Faecalibacterium	0.531734866721522
Acidaminococcus	0.224648678404268
Listeria	0.0539913986944002
Lactococcus	0.725540216593694
Rothia	0.451147702927985
Prevotella	0.468117400584196
Faecalitalea	0.210032441396393
Flavobacterium	0.0394495675742402
Bacillus	-0.0940299370082883
Blautia	0.404833158245347
Geobacillus	0.627986381482979
Acholeplasma	0.0239558361990514
Streptococcus	0.645274091692749
Slackia	0.396711387562135
Neisseria	-0.0195009696861109
Alkaliphilus	-0.00955912558486281
Peptoclostridium	-0.0818941281943785
Eubacterium	0.74519160109641
Methylobacterium	0.0310434497523867
Escherichia	0.736710053155263
Haemophilus	0.678196703825992
Ralstonia	0.172183523172417
Alistipes	0.333623356412572
Desulfotomaculum	0.182073250468261
Lachnoclostridium	0.233935353412255
Porphyromonas	0.456642033322767
Caldicellulosiruptor	0.125168909888338
Parabacteroides	0.528414470849696
Coprococcus	0.453387666745414
Atopobium	0.396745615080725
Acinetobacter	0.594972488943351
Pantoea	-0.119495850165019
Dehalococcoides	-0.0822791079026976
Gordonibacter	0.547222356461226
Enterococcus	0.362833257452093
Anoxybacillus	0.690595258034194
Roseburia	0.548465537761266
Rhizobium	-0.214368517126861
Ruminococcus	0.408199630483091
Clostridium	0.0746447386904292
Eggerthella	0.474704775393503
Desulfovibrio	0.184800272048206
Bacteroides	0.690019282926715
Megasphaera	0.663879521021876
Adlercreutzia	0.759530322352728
Campylobacter	-0.0763878517923246
Unclassified	0.138551502771269
Fusobacterium	0.445443180214018
Ethanoligenens	0.136883451620392
Corynebacterium	0.0442184223404834
Haliscomenobacter	0.178263482160479
Lactobacillus	0.47339550499153
Thermus	0.67151504954966
Bifidobacterium	0.660196690288302
Selenomonas	0.135004705118662
Akkermansia	0.738656346476702
Oscillibacter	0.16978233354605
Ruminiclostridium	0.717560426913675
Geobacter	0.221379688284776
Propionibacterium	0.434229221389575
Coriobacterium	0.177447882191349
Mobiluncus	0.130044024974393
Paenibacillus	0.204498503942868
Odoribacter	0.344558613363001
Staphylococcus	0.225308072214859
Variovorax	0.0682363900953258
