wgs	stoolMeans	swabMeans	tissueMeans	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Mucin_type_O_glycan_biosynthesis	0.200699013589954	0.866389044882713	1.8269291402436	1.52255864522764e-22	7.43410835113423e-08	1.0325074129014e-14	1.12432768095694e-07	0.49928551786193	0.334136294119061	2.7452193754862e-22	1.76931778756995e-06	1.86164215356464e-14	1.78393325378501e-07	0.807158059500307	0.996435502461215
Fatty_acid_elongation_in_mitochondria	0.484006659800532	0.538402187612052	0.159804791029952	0.264861717861698	0.94446363425376	0.282518886159917	0.279689371860739	0.214148720119948	0.00831405748204646	0.276478459873176	0.999999202392299	0.297519888964868	0.308176252328036	0.648382217671562	0.123671605045441
Glycolysis_Gluconeogenesis	3.29654151323057	3.23072624746198	2.15832689296222	4.77628688496894e-27	0.5737025101417	1.66533453693773e-15	1.49880108324396e-14	0.141540652380593	0.457594196307182	9.7996230915742e-27	0.917842530242927	3.24876737533755e-15	3.29090290372071e-14	0.648382217671562	0.996435502461215
Drug_metabolism_other_enzymes	1.93017295596902	2.17821646645401	1.71113969203723	0.0778082138059592	0.207534460689001	0.458194594456451	0.0762878192149826	0.265918797529708	0.999779712915733	0.0819396233885765	0.504012261673288	0.474131797741893	0.0872908700632974	0.700387306303123	0.999891036688737
Tropane_piperidine_and_pyridine_alkaloid_biosynthesis	0.902072710869651	0.6914512430881	0.23221269797643	6.30447477041762e-08	0.0506883213848052	5.58847589315903e-08	0.0016837522580162	0.733694034375351	0.171171804476961	8.33591664088553e-08	0.204197461069123	7.4722318122014e-08	0.00220182987586734	0.873095900906667	0.760775773910019
Ascorbate_and_aldarate_metabolism	2.63118903600677	2.60713507181274	0.586880202249403	8.99331439887971e-45	0.947372407590703	1.66533453693773e-15	1.66533453693773e-15	0.949742632461733	0.443774989918892	9.72913103151532e-44	0.999999202392299	3.24876737533755e-15	5.6621374255883e-15	0.998849736530106	0.996435502461215
Various_types_of_N_glycan_biosynthesis	0.362504346063766	0.318725836244567	0.714807285023419	0.0194067499199395	0.906482424355127	0.0211932983321563	0.0270474880978202	0.538796173121892	0.156170976294876	0.021187185692411	0.999999202392299	0.0237924764294963	0.0318678325112931	0.807158059500307	0.760775773910019
Benzoxazinoid_biosynthesis	0.236441832606359	0.194007264193635	0.017188954082668	2.80662891696111e-09	0.232408231193354	1.21963228405519e-09	2.11092116362277e-05	0.408130277916771	0.221654786044873	3.83895219676289e-09	0.521822254943568	1.70748519767727e-09	3.02650142736277e-05	0.807158059500307	0.935090775526073
Sulfur_metabolism	3.14899013693266	3.0593550786064	1.17090161751895	1.92122046848959e-34	0.604975419491049	1.66533453693773e-15	1.66533453693773e-15	0.167350839981699	0.374578281167739	6.96831499694903e-34	0.924901412457046	3.24876737533755e-15	5.6621374255883e-15	0.648382217671562	0.996435502461215
Pentose_phosphate_pathway	3.4503995101498	3.37735121394161	1.63583941704087	1.42081663634739e-29	0.734187814750143	1.66533453693773e-15	3.44169137633799e-15	0.96543913851345	0.367015910810979	3.52244124427791e-29	0.986661499657767	3.24876737533755e-15	9.30821076782319e-15	0.998849736530106	0.996435502461215
Styrene_degradation	1.44586312451634	0.977875830787556	0.0519318312216527	6.42760490572904e-07	0.058268196258208	6.47375014262153e-07	0.00626637546080833	0.895567893028199	0.17261299071908	8.31396721501909e-07	0.210118647112932	8.46567326342815e-07	0.00776769458162699	0.977730085049135	0.760775773910019
Aminobenzoate_degradation	2.47049067397724	2.30266806891437	0.331380651793631	6.61095861840093e-42	0.120624412547946	1.66533453693773e-15	1.66533453693773e-15	0.985514897232015	0.99984178116189	4.80949837833171e-41	0.350105002273307	3.24876737533755e-15	5.6621374255883e-15	0.998849736530106	0.999891036688737
Fatty_acid_biosynthesis	3.37998520090923	3.29252417642392	1.37449226360009	3.78171113620332e-35	0.617714129544866	1.66533453693773e-15	1.66533453693773e-15	0.190222052354324	0.925845422874876	1.50007875069398e-34	0.924901412457046	3.24876737533755e-15	5.6621374255883e-15	0.648382217671562	0.999891036688737
Carbon_fixation_in_photosynthetic_organisms	0.978447757900673	0.945927880416986	0.327757617145517	3.08975143360411e-06	0.94183046577092	1.72188037517174e-06	0.000101347869579271	0.620908181949386	0.079332317706571	3.83000438123843e-06	0.999999202392299	2.17982728346209e-06	0.000143576148570634	0.831350327760167	0.540279774847742
Tyrosine_metabolism	2.9527939197491	2.93837368652512	1.51581189782114	3.15359374967599e-28	0.982454934041691	1.66533453693773e-15	4.55191440096314e-15	0.621766211518108	0.250523503005667	6.82323011293532e-28	0.999999202392299	3.24876737533755e-15	1.15250598662684e-14	0.831350327760167	0.961686995408852
Ether_lipid_metabolism	1.56781049995071	1.64352620514931	1.34064995584467	0.270962038812363	0.829373952453227	0.349020357380064	0.251986430574234	0.0893178734289935	0.351622809958096	0.280386805379749	0.999999202392299	0.36432826779147	0.280246591012466	0.648382217671562	0.996435502461215
Carotenoid_biosynthesis	1.17808068373011	1.13036968078499	0.126337869762938	1.57806976908379e-14	0.867097195976623	3.8746783559418e-14	5.5703219814518e-11	0.0898890591492209	0.00143577892562343	2.47092503317068e-14	0.999999202392299	6.14782299142765e-14	9.60678718540238e-11	0.648382217671562	0.0797928985827282
Streptomycin_biosynthesis	3.46817519075115	3.35924382501747	0.646105972820987	3.55005989571016e-46	0.537890450928292	1.66533453693773e-15	1.66533453693773e-15	0.244835581784425	0.82297373656512	6.03510182270727e-45	0.917842530242927	3.24876737533755e-15	5.6621374255883e-15	0.662168959826058	0.999891036688737
Nitrotoluene_degradation	2.62399840985608	2.34201736051044	0.192199986637539	7.25978872373361e-38	0.0224914889799919	1.66533453693773e-15	1.66533453693773e-15	0.550917545461983	0.855135802053371	3.75615155706217e-37	0.102941814946886	3.24876737533755e-15	5.6621374255883e-15	0.807158059500307	0.999891036688737
Taurine_and_hypotaurine_metabolism	3.06185607474422	2.66982265887248	0.622305800804666	9.05546336010873e-21	0.0570562551434641	1.0991207943789e-14	3.45279360658424e-13	0.273051269573486	0.999784613536677	1.60835841769095e-20	0.210118647112932	1.95216976912074e-14	6.42003811224257e-13	0.700387306303123	0.999891036688737
Polycyclic_aromatic_hydrocarbon_degradation	1.44486527947663	1.38537815035606	0.0549165867287828	0.000554481398825983	0.975356287001264	0.000363242919449558	0.00410768856724508	0.993291186802991	0.018834483508171	0.000653299865943485	0.999999202392299	0.000432259074144974	0.00525607461830285	0.998849736530106	0.249033726385816
Glutathione_metabolism	2.89609815246049	3.1999486241347	3.73763124377286	2.0373058842894e-10	0.00526383610810743	3.34450356298532e-10	0.000556076477500667	0.52208821445467	0.999841672786234	2.85222823800517e-10	0.0329682366770939	4.73804671422921e-10	0.000778507068500933	0.807158059500307	0.999891036688737
Ethylbenzene_degradation	0.167666715689261	0.255456786643156	0	0.00710817182114767	0.244722157866363	0.0416092687598685	0.00481611486370925	0.22884078270761	0.0294817770826484	0.00783215228441271	0.539295125668467	0.0458472498372625	0.00603281756612001	0.648382217671562	0.350833147283516
