Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	19.869927940167	9.3211196464001e-05	0.638082119389443	5.86312202851652e-16
MDS2	15.8971261349515	1.7422753282023e-50	0.841858032875616	0.00256905526205002
MDS3	9.30227199102519	0.992750093001437	0.793837894202737	6.44944402545501e-13
MDS4	7.83965761495091	4.98188356972582e-10	0.385994696582322	5.35657549838454e-09
MDS5	6.14614984149408	0.807759235987753	0.119887661484951	4.59440364219186e-06
MDS6	5.32244629218404	0.673545423833415	0.467918428085278	6.98080109474213e-05
MDS7	4.54873747351493	0.0356994589877443	0.214596667425015	7.98738085348398e-05
MDS8	3.87491151237764	0.176795542753909	0.730855772457798	3.19723025009308e-06
MDS9	3.06100360897863	0.0106076712777338	0.438737895279412	2.73089318392827e-07
MDS10	2.28370636063662	0.77432714208927	0.61489982107479	0.00751286046555966
MDS11	2.13731193654196	0.926075872195368	0.411393306094256	0.0413787667427434
MDS12	1.82697210781621	0.8250578355392	0.339130579339855	0.0361620678789828
MDS13	1.74047479817328	0.114446966452071	0.733140412199474	0.00172672320560988
MDS14	1.52514055207191	0.643079591518551	0.275693560736565	0.134178805275319
MDS15	1.33938304721052	0.00335412432653789	0.914483238118139	0.0354130443860562
MDS16	1.15722991246588	0.290353976038949	0.110345259250448	0.0131658345816939
