wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
Metabolism_of_Terpenoids_and_Polyketides	3.65	0.107	3.578	0.209	0.00893	0.272	0.0132008695652174	0.848153846153846	0.056	0.153
Metabolism_of_Cofactors_and_Vitamins	4.445	0.044	4.43	0.1	0.448	0.000782	0.507733333333333	0.014467	0.024	0.294
Transcription	3.068	0.088	3.053	0.077	0.282	0.000529	0.330620689655172	0.014467	0.008	0.38
Signaling_Molecules_and_Interaction	1.525	0.677	3.112	0.752	<2e-16	0.165	NA	0.848153846153846	0.509	0.586
Nucleotide_Metabolism	3.626	0.061	3.552	0.114	1.59e-05	0.436	3.00333333333333e-05	1	0.148	0.21
Immune_System	1.251	0.649	2.855	0.791	<2e-16	0.0225	NA	0.14615	0.497	0.622
Xenobiotics_Biodegradation_and_Metabolism	3.647	0.169	3.592	0.226	0.0366	0.0237	0.0478615384615385	0.14615	0.036	0.246
Membrane_Transport	3.438	0.091	3.399	0.202	0.145	1	0.182592592592593	1	0.019	0.019
Cell_Growth_and_Death	3.307	0.338	3.342	0.078	0.596	1	0.63325	1	0.012	0.012
Folding_Sorting_and_Degradation	3.774	0.062	3.816	0.115	0.0121	0.885	0.0171416666666667	1	0.056	0.068
Cancers	0.398	0.364	1.015	0.835	2.28e-07	0.973	7.10909090909091e-07	1	0.206	0.208
Circulatory_System	0.266	0.628	1.397	1.367	1.99e-08	1	9.66571428571428e-08	1	0.248	0.248
Transport_and_Catabolism	2.047	0.364	2.79	0.572	2.11e-12	1	2.39133333333333e-11	1	0.37	0.37
Development	0.524	0.508	1.384	0.732	2.54e-10	0.549	1.9244e-09	1	0.307	0.349
Excretory_System	0.801	0.542	1.54	0.879	5.28e-07	0.918	1.496e-06	1	0.201	0.209
Neurodegenerative_Diseases	1.354	0.369	2.081	0.722	2.83e-10	1	1.9244e-09	1	0.302	0.302
Metabolism_of_Other_Amino_Acids	4.155	0.423	4.159	0.113	0.994	0.876	0.994	1	0.004	0.039
Glycan_Biosynthesis_and_Metabolism	3.969	0.065	3.939	0.078	0.0278	0.00437	0.037808	0.0404225	0.042	0.335
Nervous_System	0.465	0.675	0.894	0.921	0.00733	1	0.0113281818181818	1	0.083	0.083
Lipid_Metabolism	3.818	0.39	3.837	0.087	0.831	0.869	0.856181818181818	1	0.008	0.044
Cell_Motility	3.04	0.352	3.332	0.163	0.000126	0.296	0.0002142	0.848153846153846	0.128	0.26
Infectious_Diseases	2.536	0.272	2.696	0.171	0.00547	0.655	0.00885619047619048	1	0.076	0.143
Translation	3.868	0.068	3.859	0.07	0.59	0.00434	0.63325	0.0404225	0.006	0.313
Signal_Transduction	2.989	0.124	3.166	0.234	7.33e-07	1	1.91707692307692e-06	1	0.208	0.208
Immune_System_Diseases	0.331	0.569	1.275	0.99	4.32e-09	0.298	2.448e-08	0.848153846153846	0.26	0.342
Replication_and_Repair	4.054	0.065	3.978	0.121	1.27e-05	0.185	2.87866666666667e-05	0.848153846153846	0.146	0.247
Carbohydrate_Metabolism	4.455	0.069	4.358	0.159	9.48e-06	1	2.30228571428571e-05	1	0.155	0.155
Cardiovascular_Diseases	0.236	0.541	1.443	1.001	9.68e-13	0.457	1.6456e-11	1	0.374	0.418
Environmental_Adaptation	2.223	0.283	2.482	0.247	1.42e-05	0.291	3.00333333333333e-05	0.848153846153846	0.145	0.257
Sensory_System	0.488	0.448	1.567	0.727	3.96e-15	0.27	1.3464e-13	0.848153846153846	0.431	0.498
Biosynthesis_of_Other_Secondary_Metabolites	3.516	0.376	3.432	0.229	0.239	0.848	0.290214285714286	1	0.014	0.045
Amino_Acid_Metabolism	4.412	0.042	4.335	0.095	3.05e-08	1	1.29625e-07	1	0.236	0.236
Endocrine_System	1.772	0.298	2.115	0.486	1.52e-05	0.829	3.00333333333333e-05	1	0.147	0.165
Digestive_System	2.242	0.355	2.691	0.435	2.3e-07	0.339	7.10909090909091e-07	0.895928571428572	0.203	0.287
Cell_Communication	0.397	0.792	2.499	1.161	<2e-16	0.712	NA	1	0.497	0.518
Energy_Metabolism	3.852	0.093	3.736	0.19	2.78e-05	1	4.97473684210526e-05	1	0.137	0.137
Metabolic_Diseases	0.172	0.491	0.916	0.813	5.76e-08	0.908	2.176e-07	1	0.224	0.233
