Axis	% explained	Origin p-value	Time p-value	Individual p-value
MDS1	17.0333375049345	1.80098293214319e-20	0.594708182815414	5.02007847251938e-07
MDS2	12.5559854339941	4.16239051586204e-13	0.528483924045156	2.73604784056319e-28
MDS3	7.1087565863688	0.0748529736503686	0.0826705753099604	4.30981043220544e-23
MDS4	6.30866045851142	5.63238987547892e-05	0.68990175723565	2.41501490829892e-13
MDS5	5.51563352519739	0.062261337896725	0.0739117178021445	1.5906300037645e-16
MDS6	4.64631660579021	0.0428123860856323	0.68762636424328	1.45310831825134e-19
MDS7	4.25144848174368	4.5698640148905e-10	0.835996948596858	2.90850062715203e-06
MDS8	4.02315660062849	0.9131538799244	0.938699969120198	7.38160407887987e-16
MDS9	3.11251701173198	0.207617666804807	0.194560805331796	2.36852683990163e-11
MDS10	3.08116744967843	0.612843215104687	0.733523480588743	3.93687285434334e-16
MDS11	2.43402807962915	0.0983595880905073	0.621584026867006	0.000222791274469371
MDS12	2.29267765860971	0.0010695108251766	0.165901884322399	4.40254196400683e-06
MDS13	2.07930462025065	0.373837529757114	0.381227140169779	6.64526894787298e-10
MDS14	1.77646765737705	0.00308502958458033	0.310653448722279	0.000893582290989497
MDS15	1.74165366721303	0.822412095058447	0.669339518387566	1.64319574651871e-05
MDS16	1.63058651784743	0.25793546266094	0.0555285616399657	2.69009216356041e-15
